03.001;2700
03.003;1550
03.004;850
03.005;600
03.006;600
03.007;1950
03.008;1500
03.009;1200
03.010;1200
03.011;1200
03.012;1200
03.013;2300
03.014;1900
03.015;1800
03.016;800
03.017;800
03.018;800
03.019;800
03.020;1100
03.021;2500
03.022;850
03.023;1150
03.024;1100
03.025;650
03.026;2200
03.027;720
03.028;2000
03.029;720
03.030;720
03.031;700
03.032;4400
03.033;2500
03.034;700
03.035;700
03.036;1650
03.037;1650
03.038;450
03.039;450
03.040;4500
03.041;3960
03.043;2800
03.044;800
03.045;400
10.000;500
10.001;500
10.002;645
10.003;500
10.100;500
10.101;500
10.105;250
10.109;350
10.111;340
10.112;300
10.125;4050
10.135;190
10.140;680
10.145;680
10.150;300
11.110;1620
11.113;920
11.114;1000
11.115;1600
11.120;1500
11.125;610
11.130;1500
12.100;300
12.105;350
12.110;340
12.111;350
12.115;1090
12.116;710
12.120;500
12.121;4000
12.122;1100
12.124;450
12.125;480
12.130;480
12.135;500
12.136;500
12.140;500
12.155;700
12.156;2200
12.166;300
12.167;450
12.170;400
12.175;400
12.176;400
12.180;300
12.181;300
12.182;300
12.196;1600
12.197;1600
12.200;400
12.205;500
12.210;500
12.215;500
12.216;500
13.100;400
13.105;3000
13.110;800
13.115;480
13.116;1000
13.117;1350
13.120;500
13.125;300
13.130;510
13.150;2600
14.100;620
14.106;730
14.107;730
14.108;1100
14.109;1250
14.110;620
14.115;740
14.120;620
14.125;620
14.126;620
14.130;630
14.135;630
14.140;700
14.141;700
14.150;700
14.155;740
14.175;1850
14.177;3000
14.178;4800
14.179;1650
14.200;7200
14.201;1650
15.000;1500
15.200;1800
15.300;2000
15.400;2300
15.500;3000
15.550;12000
15.600;1800
15.610;1300
15.650;1500
15.680;1350
15.700;1800
15.800;17400
15.810;9400
15.820;7500
15.830;12100
15.840;3500
15.850;9700
15.851;13200
15.852;14325
15.853;7200
15.854;14700
15.855;12000
15.856;14700
15.857;7800
15.861;19500
15.862;7800
15.865;23200
15.870;3700
15.875;7500
15.880;11000
15.885;14800
15.890;10500
15.891;15525
15.892;13800
15.895;37500
15.896;30000
15.950;1350
15.955;2250
15.960;1950
15.965;4000
15.995;15700
16.100;230
16.110;160
16.111;255
16.115;160
16.120;170
16.125;170
16.130;510
16.150;3400
17.100;1240
17.105;370
17.110;2600
17.115;900
17.120;600
17.125;1880
17.130;1300
17.140;370
17.155;270
17.160;400
17.161;2000
17.165;850
17.167;2400
17.170;980
17.190;1800
18.100;150
18.101;730
18.102;250
18.103;770
18.104;1500
18.105;450
18.106;250
18.110;600
18.111;150
18.115;650
19.100;540
19.105;540
19.110;1280
19.115;1250
19.120;190
19.130;200
19.135;200
19.140;220
19.141;260
19.145;480
19.150;2700
20.100;190
20.105;190
20.115;340
21.100;190
21.105;190
21.110;230
21.115;270
21.120;190
21.130;190
21.135;210
21.140;300
21.145;220
21.150;850
21.155;300
21.160;190
21.165;600
21.170;2700
21.175;1650
21.180;5250
21.181;1800
21.185;900
22.100;340
22.105;190
22.110;390
22.115;210
22.120;240
22.125;650
22.130;570
22.140;190
22.145;190
22.150;190
